,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1626350813923667969,1626307184391864322,1676587224000.0,2023-02-16 22:40:24,+0000,,"@EvaLeyst @e_l_g_c_a The idea that I shouldn't look at the symbols one uses to represent themselves is nonsense, every political movement has some form of symbolism as an expression of their ideals, I guarantee if you saw a Christian conservative flying a BLM flag, you'd probably be confused.",en,[],[],1339248701609562113,1339248701609562113,NeokoAKtion,Neoko,4,22,https://twitter.com/NeokoAKtion/status/1626350813923667969,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'EvaLeyst', 'name': 'Eva Leyst 🇪🇪 🇺🇦 🇩🇪 🌿🦇', 'id': '1523227738294956033'}, {'screen_name': 'e_l_g_c_a', 'name': 'Anatomy of Truth 🇨🇦', 'id': '1507472789858660356'}]",,,,
1,1626350778427535360,1625970855019974657,1676587216000.0,2023-02-16 22:40:16,+0000,,@XYourarsonist @SamSeder @jordanbpeterson @majorityfm Shapiro constantly debates blm group members and recently Anna of TYT. What do you mean? Amd what jordan peterson topics didn't you like? When he goes off on climate change nonsense? Or the trans stuff? First time I watched seder when he talked to Tim years ago. He sounded,en,[],[],1558263758811648000,1558263758811648000,realliamramirez,Liam ramirez,4,22,https://twitter.com/realliamramirez/status/1626350778427535360,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'XYourarsonist', 'name': 'ET', 'id': '1541895146962391044'}, {'screen_name': 'SamSeder', 'name': 'Sam Seder', 'id': '15473574'}, {'screen_name': 'jordanbpeterson', 'name': 'Dr Jordan B Peterson', 'id': '95092020'}, {'screen_name': 'majorityfm', 'name': 'Majority Report', 'id': '208361818'}]",,,,
2,1626350776963698688,1626350776963698688,1676587216000.0,2023-02-16 22:40:16,+0000,,"@Crave_PR hey! It's listed on your advertisement for Drag Race Belgium that Rita Baga won Season 1 of CDR but she did not, Priyanka won and this seems very rude. Please change this!",en,[],[],1276675916257611776,1276675916257611776,JavaReef,Josh-less in Seattle ☀️/BLM,4,22,https://twitter.com/JavaReef/status/1626350776963698688,[],[],0,,False,0,0,0,,blm,,,,,,,[],,,,
3,1626350753706315776,1626246274050846721,1676587210000.0,2023-02-16 22:40:10,+0000,,"@przybylskiens @eddfss @moviemenfes My mister udh rewatch 2x, pertama pas masih kuliah dan skrg udh kerja, nonton film yg sama dengan keadaan yg berbeda hit different, tambah kesini tambah relate sm filmnya apalagi tokoh utamanya, tp tokoh utama nya ada mba IU kalo sini blm ada support system nya wkw",in,[],[],1470384908715446273,1470384908715446273,kuro_gami13,kuro,4,22,https://twitter.com/kuro_gami13/status/1626350753706315776,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'przybylskiens', 'name': 'sky', 'id': '1529015507520610304'}, {'screen_name': 'eddfss', 'name': 'anak manis', 'id': '1343358109989785602'}, {'screen_name': 'moviemenfes', 'name': 'movie menfess', 'id': '1565895180'}]",,,,
4,1626350724937564160,1626350716892909568,1676587203000.0,2023-02-16 22:40:03,+0000,,"ini kan blm full interview, baru sedikit aja. menurut gue ya yaudah gak sih? siapapun orang yang F maksud tuh ya YAUDAH gak harus B (semisal bukan) ok? lets support them cuz love is love. inget, F yang jatuh duluan. artinya, F duluan yang naruh hati ke dia",in,[],[],1594562719772184576,1594562719772184576,freenbeckau,Ja || freen’s gf 🐣,4,22,https://twitter.com/freenbeckau/status/1626350724937564160,[],[],0,,False,0,0,0,,blm,,,,,,,[],,,,
5,1626350696864915458,1626268943303290884,1676587196000.0,2023-02-16 22:39:56,+0000,,@remuraaaa semana que vem só,pt,[],[],1267860616141844480,1267860616141844480,BlmItalo,italim,4,22,https://twitter.com/BlmItalo/status/1626350696864915458,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'remuraaaa', 'name': 're(i)', 'id': '1213308197785591808'}]",,,,
6,1626350691026632704,1626347565498130432,1676587195000.0,2023-02-16 22:39:55,+0000,,"@Edulo07 Fair enough, ig it's just my preference",en,[],[],819309425093537793,819309425093537793,yaboittash,Bondforged Ttash @ BLM 🐝,4,22,https://twitter.com/yaboittash/status/1626350691026632704,[],[],0,,False,1,0,0,,blm,,,,,,,"[{'screen_name': 'Edulo07', 'name': 'Edulo 7.0', 'id': '1490707486072004611'}]",,,,
7,1626350677147484160,1626206655175180288,1676587192000.0,2023-02-16 22:39:52,+0000,,@nnaturenurture @aj_pritchett Me too!,en,[],[],242158998,242158998,alania_mcphee,momma deb || BLM 🏳️‍🌈 🏳️‍⚧️|| she/her,4,22,https://twitter.com/alania_mcphee/status/1626350677147484160,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'nnaturenurture', 'name': 'Em- Nature Nurture🍂', 'id': '518814977'}, {'screen_name': 'aj_pritchett', 'name': 'Adam Pritchett', 'id': '537755380'}]",,,,
8,1626350640543703040,1626350640543703040,1676587183000.0,2023-02-16 22:39:43,+0000,, https://t.co/4G39sNKWPX,zxx,[],[],1366583470596718596,1366583470596718596,ftimm_blm,pato 🍂✨,4,22,https://twitter.com/ftimm_blm/status/1626350640543703040,[],['https://pbs.twimg.com/media/FpH1SfPXwAIs0nf.jpg'],1,https://pbs.twimg.com/media/FpH1SfPXwAIs0nf.jpg,False,0,0,0,,blm,,,,,,,[],,,,
9,1626350632155361280,1626341788847058945,1676587181000.0,2023-02-16 22:39:41,+0000,,@dsgove @DungeonMapp 🤣,und,[],[],16432028,16432028,tomabernathy,okay mr. sunshine! na naa nanananananana blm.,4,22,https://twitter.com/tomabernathy/status/1626350632155361280,[],[],0,,False,0,0,0,,blm,,,,,,,"[{'screen_name': 'dsgove', 'name': 'Dave Gove 🃏🎲', 'id': '554627374'}, {'screen_name': 'DungeonMapp', 'name': 'Derek Proud', 'id': '97991183'}]",,,,
